Review #,Brand,Style,Country,Stars,Codes
2580,New Touch,Cup,Japan,3.75,JPN
2579,Just Way,Pack,Taiwan,1,TWN
2578,Nissin,Cup,USA,2.25,USA
2577,Wei Lih,Pack,Taiwan,2.75,TWN
2576,Ching's Secret,Pack,India,3.75,IND
2575,Samyang Foods,Pack,South Korea,4.75,PRK
2574,Acecook,Cup,Japan,4,JPN
2573,Ikeda Shoku,Tray,Japan,3.75,JPN
2572,Ripe'n'Dry,Pack,Japan,0.25,JPN
2571,KOKA,Pack,Singapore,2.5,SGP
2570,Tao Kae Noi,Pack,Thailand,5,THA
2569,Yamachan,Pack,USA,5,USA
2568,Nongshim,Pack,South Korea,4.25,PRK
2567,Nissin,Bowl,Japan,4.5,JPN
2566,Nissin,Pack,Hong Kong,5,HKG
2565,KOKA,Cup,Singapore,3.5,SGP
2564,TRDP,Pack,India,3.75,IND
2563,Yamachan,Pack,USA,5,USA
2562,Binh Tay,Pack,Vietnam,4,VNM
2561,Paldo,Pack,South Korea,4,PRK
2560,Nissin,Cup,Hong Kong,4.25,HKG
2559,Jackpot Teriyaki,Pack,USA,5,USA
2558,KOKA,Cup,Singapore,5,SGP
2557,Yamachan,Pack,USA,4.75,USA
2556,Ching's Secret,Pack,India,4.25,IND
2555,Samyang Foods,Bowl,South Korea,4.25,PRK
2554,Yum-Mie,Pack,Ghana,3.5,GHN
2553,Nissin,Bowl,Japan,4.75,JPN
2552,MyKuali,Bowl,Malaysia,5,MYS
2551,KOKA,Pack,Singapore,4,SGP
2550,Samyang Foods,Pack,South Korea,5,PRK
2549,Nissin,Pack,Indonesia,4.5,IDN
2547,Sichuan Guangyou,Bowl,China,4,CHN
2546,New Touch,Bowl,Japan,3.75,JPN
2545,KOKA,Pack,Singapore,5,SGP
2544,Lipton,Box,USA,1.5,USA
2543,KOKA,Cup,Singapore,5,SGP
2542,Acecook,Tray,Japan,1.5,JPN
2541,Nissin,Cup,USA,5,USA
2540,Wei Lih,Pack,Taiwan,3.25,TWN
2539,Nissin,Cup,Hong Kong,3.75,HKG
2538,Nissin,Cup,USA,5,USA
2537,Nissin,Cup,Singapore,5,SGP
2536,Lele,Pack,Ghana,3.5,GHN
